File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
eg_service.o,10.832689%,6865,3942,6048,817,0,3942
eg_basic.o,10.670159%,6762,218,5842,920,0,218
eg_network.o,9.928518%,6292,71,4672,1620,0,71
tasks.o,9.480378%,6008,480,6004,4,0,480
mc_w.l,9.120604%,5780,4,5712,64,4,0
app_eg.o,5.933126%,3760,4,2004,1756,0,4
queue.o,5.819513%,3688,64,3688,0,0,64
printfa.o,3.705048%,2348,0,2348,0,0,0
timers.o,2.690420%,1705,300,1692,13,0,300
drv_eg.o,2.502643%,1586,8281,1424,162,0,8281
lwrb.o,2.231234%,1414,0,1414,0,0,0
at32f403a_407_crm.o,2.228078%,1412,0,1372,40,0,0
mf_w.l,1.981917%,1256,0,1256,0,0,0
at32f403a_407_usart.o,1.843056%,1168,0,1168,0,0,0
include_port.o,1.786250%,1132,9,1128,0,4,5
heap_4.o,1.770470%,1122,20512,1122,0,0,20512
at32f403a_407_dma.o,1.442255%,914,0,914,0,0,0
scanf_fp.o,1.385448%,878,0,878,0,0,0
_scanf.o,1.281303%,812,0,812,0,0,0
at32f403a_407_wk_config.o,1.044609%,662,0,662,0,0,0
system_at32f403a_407.o,0.949931%,602,4,582,16,4,0
at32f403a_407_gpio.o,0.902593%,572,0,572,0,0,0
startup_at32f403a_407.o,0.669055%,424,1024,36,388,0,1024
at32f403a_407_misc.o,0.583845%,370,0,370,0,0,0
log.o,0.547552%,347,88,336,11,0,88
_scanf_longlong.o,0.539662%,342,0,342,0,0,0
dadd.o,0.527038%,334,0,334,0,0,0
_scanf_int.o,0.523882%,332,0,332,0,0,0
wk_system.o,0.523882%,332,4,332,0,0,4
freertos_app.o,0.515993%,327,1724,266,61,0,1724
wk_usart.o,0.514415%,326,0,326,0,0,0
at32f403a_407_int.o,0.479700%,304,0,304,0,0,0
list.o,0.467076%,296,0,296,0,0,0
wk_dma.o,0.413425%,262,0,262,0,0,0
dmul.o,0.359775%,228,0,228,0,0,0
_scanf_str.o,0.353463%,224,0,224,0,0,0
ddiv.o,0.350307%,222,0,222,0,0,0
system_main.o,0.345573%,219,4,162,57,0,4
depilogue.o,0.293500%,186,0,186,0,0,0
at32f403a_407_exint.o,0.211447%,134,0,134,0,0,0
wk_gpio.o,0.208291%,132,0,132,0,0,0
fepilogue.o,0.173575%,110,0,110,0,0,0
ctype_c.o,0.164108%,104,0,40,64,0,0
uldiv.o,0.154640%,98,0,98,0,0,0
at32f403a_407_tmr.o,0.148328%,94,0,94,0,0,0
_sgetc.o,0.100989%,64,0,64,0,0,0
d2f.o,0.088366%,56,0,56,0,0,0
sscanf.o,0.088366%,56,0,56,0,0,0
main.o,0.082054%,52,0,52,0,0,0
dfixul.o,0.075742%,48,0,48,0,0,0
cdrcmple.o,0.075742%,48,0,48,0,0,0
init.o,0.075742%,48,0,48,0,0,0
uidiv.o,0.069430%,44,0,44,0,0,0
scanf_char.o,0.063118%,40,0,40,0,0,0
strstr.o,0.056807%,36,0,36,0,0,0
memseta.o,0.056807%,36,0,36,0,0,0
memcpya.o,0.056807%,36,0,36,0,0,0
llsshr.o,0.056807%,36,0,36,0,0,0
llushr.o,0.050495%,32,0,32,0,0,0
strncmp.o,0.047339%,30,0,30,0,0,0
llshl.o,0.047339%,30,0,30,0,0,0
handlers.o,0.047339%,30,0,30,0,0,0
strcmp.o,0.044183%,28,0,28,0,0,0
_chval.o,0.044183%,28,0,28,0,0,0
dfltul.o,0.037871%,24,0,24,0,0,0
strchr.o,0.031559%,20,0,20,0,0,0
wk_debug.o,0.028403%,18,0,18,0,0,0
strlen.o,0.022091%,14,0,14,0,0,0
isspace_c.o,0.015780%,10,0,10,0,0,0
entry9a.o,0.012624%,8,0,8,0,0,0
entry2.o,0.012624%,8,0,8,0,0,0
stdout.o,0.006312%,4,4,0,0,4,0
entry5.o,0.006312%,4,0,4,0,0,0
