File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,73.471138%,10272,1122,1122,0,0,10272
freertos_app.o,12.331020%,1724,327,266,61,0,1724
startup_at32f403a_407.o,7.324226%,1024,424,36,388,0,1024
tasks.o,3.433231%,480,4555,4546,9,0,480
timers.o,2.145769%,300,1705,1692,13,0,300
log.o,0.629426%,88,353,336,17,0,88
queue.o,0.457764%,64,3324,3324,0,0,64
include_port.o,0.064373%,9,1132,1128,0,4,5
mc_w.l,0.028610%,4,2688,2684,0,4,0
stdout.o,0.028610%,4,4,0,0,4,0
wk_system.o,0.028610%,4,332,332,0,0,4
system_main.o,0.028610%,4,211,154,57,0,4
system_at32f403a_407.o,0.028610%,4,602,582,16,4,0
